,ID,Detail,Label,Required,Attributes,Limit,Predicate Type,Group,Label_old,label_clean,label_varname,detail_varname,both_varname
0,AIANHH,Geography,,not required,,0,(not a predicate),,,,,geography,__geography
1,AIHHTL,Geography,,not required,,0,(not a predicate),,,,,geography,__geography
2,AIRES,Geography,,not required,,0,(not a predicate),,,,,geography,__geography
3,ANRC,Geography,,not required,,0,(not a predicate),,,,,geography,__geography
4,B01001_001E,Estimate!!Total:,Sex by Age,not required,"B01001_001EA, B01001_001M, B01001_001MA",0,int,B01001,Sex by Age,Sex by Age,sex_by_age,_,sex_by_age___
5,B01001_002E,Estimate!!Total:!!Male:,Sex by Age,not required,"B01001_002EA, B01001_002M, B01001_002MA",0,int,B01001,Sex by Age,Sex by Age,sex_by_age,__male,sex_by_age____male
6,B01001_003E,Estimate!!Total:!!Male:!!Under 5 years,Sex by Age,not required,"B01001_003EA, B01001_003M, B01001_003MA",0,int,B01001,Sex by Age,Sex by Age,sex_by_age,__male_under_5_yrs,sex_by_age____male_under_5_yrs
7,B01001_004E,Estimate!!Total:!!Male:!!5 to 9 years,Sex by Age,not required,"B01001_004EA, B01001_004M, B01001_004MA",0,int,B01001,Sex by Age,Sex by Age,sex_by_age,__male_5_9_yrs,sex_by_age____male_5_9_yrs
8,B01001_005E,Estimate!!Total:!!Male:!!10 to 14 years,Sex by Age,not required,"B01001_005EA, B01001_005M, B01001_005MA",0,int,B01001,Sex by Age,Sex by Age,sex_by_age,__male_10_14_yrs,sex_by_age____male_10_14_yrs
9,B01001_006E,Estimate!!Total:!!Male:!!15 to 17 years,Sex by Age,not required,"B01001_006EA, B01001_006M, B01001_006MA",0,int,B01001,Sex by Age,Sex by Age,sex_by_age,__male_15_17_yrs,sex_by_age____male_15_17_yrs
10,B01001_007E,Estimate!!Total:!!Male:!!18 and 19 years,Sex by Age,not required,"B01001_007EA, B01001_007M, B01001_007MA",0,int,B01001,Sex by Age,Sex by Age,sex_by_age,__male_18_and_19_yrs,sex_by_age____male_18_and_19_yrs
11,B01001_008E,Estimate!!Total:!!Male:!!20 years,Sex by Age,not required,"B01001_008EA, B01001_008M, B01001_008MA",0,int,B01001,Sex by Age,Sex by Age,sex_by_age,__male_20_yrs,sex_by_age____male_20_yrs
12,B01001_009E,Estimate!!Total:!!Male:!!21 years,Sex by Age,not required,"B01001_009EA, B01001_009M, B01001_009MA",0,int,B01001,Sex by Age,Sex by Age,sex_by_age,__male_21_yrs,sex_by_age____male_21_yrs
13,B01001_010E,Estimate!!Total:!!Male:!!22 to 24 years,Sex by Age,not required,"B01001_010EA, B01001_010M, B01001_010MA",0,int,B01001,Sex by Age,Sex by Age,sex_by_age,__male_22_24_yrs,sex_by_age____male_22_24_yrs
14,B01001_011E,Estimate!!Total:!!Male:!!25 to 29 years,Sex by Age,not required,"B01001_011EA, B01001_011M, B01001_011MA",0,int,B01001,Sex by Age,Sex by Age,sex_by_age,__male_25_29_yrs,sex_by_age____male_25_29_yrs
15,B01001_012E,Estimate!!Total:!!Male:!!30 to 34 years,Sex by Age,not required,"B01001_012EA, B01001_012M, B01001_012MA",0,int,B01001,Sex by Age,Sex by Age,sex_by_age,__male_30_34_yrs,sex_by_age____male_30_34_yrs
16,B01001_013E,Estimate!!Total:!!Male:!!35 to 39 years,Sex by Age,not required,"B01001_013EA, B01001_013M, B01001_013MA",0,int,B01001,Sex by Age,Sex by Age,sex_by_age,__male_35_39_yrs,sex_by_age____male_35_39_yrs
17,B01001_014E,Estimate!!Total:!!Male:!!40 to 44 years,Sex by Age,not required,"B01001_014EA, B01001_014M, B01001_014MA",0,int,B01001,Sex by Age,Sex by Age,sex_by_age,__male_40_44_yrs,sex_by_age____male_40_44_yrs
